link;01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00;24:00:00;25:00:00;26:00:00;27:00:00;28:00:00;29:00:00;30:00:00
39539;0;0;0;0;0;0;0;287;476;289;298;263;277;247;294;402;470;372;314;0;0;0;0;0;0;0;0;0;0;0
5211;0;0;0;0;0;0;0;50;150;83;81;92;94;103;97;120;143;138;79;0;0;0;0;0;0;0;0;0;0;0
5212;0;0;0;0;0;0;0;55;141;100;103;110;84;73;75;142;150;114;114;0;0;0;0;0;0;0;0;0;0;0
30073;0;0;0;0;0;0;0;275;398;232;235;215;253;214;301;406;438;392;286;0;0;0;0;0;0;0;0;0;0;0
21535;0;0;0;0;0;0;0;1551;2028;1571;1810;1898;2043;2023;2234;2543;2656;2389;1871;0;0;0;0;0;0;0;0;0;0;0
78017;0;0;0;0;0;0;0;2453;2721;2353;2165;2255;1813;2199;2259;2560;2957;2890;2747;0;0;0;0;0;0;0;0;0;0;0
52166;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
84216;0;0;0;0;0;0;0;3221;3189;2311;2315;2173;2133;2099;2374;2652;3248;3025;2284;0;0;0;0;0;0;0;0;0;0;0
52167;0;0;0;0;0;0;0;51;67;34;27;34;15;34;35;51;69;40;31;0;0;0;0;0;0;0;0;0;0;0
77923;0;0;0;0;0;0;0;2632;2441;1844;1801;1800;1694;1542;1873;2317;2819;2553;1697;0;0;0;0;0;0;0;0;0;0;0
4799;0;0;0;0;0;0;0;21;36;16;16;11;16;12;11;12;17;30;30;0;0;0;0;0;0;0;0;0;0;0
